"Run.ID","P0.Regret.DT","P1.Regret.DT","P2.Regret.DT","P3.Regret.DT"
681,-6.06937038734272,-6.06937038734272,-1.08190799116134,0
682,-3.51819853923732,-3.51819853923732,-2.39833069031838,0
683,-0.124712825165695,-0.124712825165695,-0.124712825165695,0
684,-6.71352014019609,-2.46451858065857,-0.17982396556593,0
685,-0.690878821745255,-0.690878821745255,-0.690878821745255,0
686,-6.08501050617858,-6.08501050617858,-1.23379713062683,0
687,-1.2973094952976,-1.2973094952976,-1.2973094952976,0
688,-6.67399790876531,-6.67399790876531,-0.322035652162669,0
689,-5.88809215767694,-5.88809215767694,-1.57040852576126,0
690,-5.39858264703305,-5.39858264703305,-1.85654891502107,0
691,-4.41667501369766,-4.41667501369766,-4.31515198993484,0
692,-5.9857786823213,-5.9857786823213,-0.76382823826211,0
693,-5.47924096455563,-5.47924096455563,-1.39527587923221,0
694,-6.61850311658553,-6.61850311658553,-0.336589432183192,0
695,-6.58641929536949,-6.58641929536949,-0.385749557719041,0
696,-6.426003764697,-6.426003764697,-0.87448358624574,0
697,0,0,0,0
698,-3.68662001856163,-3.68662001856163,-2.56443465309196,0
699,-6.06511842856245,-6.06511842856245,-0.801322844898757,0
700,-3.45288801630658,-3.45288801630658,-2.57045871313994,0
701,-2.34637365379679,-2.34637365379679,-2.22556361169147,0
702,-5.78428937895043,-5.78428937895043,-0.841195667667072,0
703,-1.32453394965906,-1.32453394965906,-1.32453394965906,0
704,-4.98775093849954,-4.98775093849954,-2.05239888266627,0
705,-4.91253430296313,-4.91253430296313,-2.93163812414794,0
706,-2.91334180180502,-2.91334180180502,-2.7907056392152,0
707,0,0,0,0
708,0,0,0,0
709,-1.70134316845969,-1.70134316845969,-1.70134316845969,0
710,-6.03511627385152,-6.03511627385152,-0.873633896046982,0
711,-6.65695360634484,-6.65695360634484,-0.289758832961835,0
712,-3.19875952118848,-3.19875952118848,-2.03955785937039,0
713,-6.11322796827613,-6.11322796827613,-0.699487087812629,0
714,-4.1914660271976,-4.1914660271976,-3.87112017602574,0
715,-5.11434436669927,-5.11434436669927,-1.24027426617353,0
716,-5.70579905046071,-5.58426029930185,-0.769203754144841,0
717,0,0,0,0
718,-5.90354505591624,-5.90354505591624,-2.15840819104615,0
719,-4.55308579003619,-4.55308579003619,-1.93891513500756,0
720,-6.55473625442298,-6.55473625442298,-0.542682089883785,0
721,-6.37105769956162,-6.37105769956162,-0.555630281090208,0
722,-6.22931112721384,-6.22931112721384,-0.675652097610917,0
723,-5.26664934008255,-5.26664934008255,-4.41460366202263,0
724,-6.16570157670844,-4.85956535306561,-0.702721895603921,0
725,-6.62131753195417,-6.62131753195417,-0.329021741659703,0
726,-0.741075879848271,-0.741075879848271,-0.741075879848271,0
727,-5.98307571469181,-5.98307571469181,-0.846504128774973,0
728,-6.34328168832273,-6.34328168832273,-0.830459583122865,0
729,-6.12166869186618,-6.12166869186618,-1.07400044108691,0
730,-1.51110906012229,-1.51110906012229,-1.51110906012229,0
731,-4.55984162368461,-4.55984162368461,-1.38048896272951,0
732,-5.20734101478791,-5.20734101478791,-1.44039282935556,0
733,-5.52192399158471,-5.52192399158471,-3.63242723113175,0
734,-6.50841806006125,-4.50084598417405,-0.392728021088084,0
735,-0.65441328100732,-0.65441328100732,-0.65441328100732,0
